127.0.0.1 - - [20/Jan/2018:14:58:29 +0000] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [20/Jan/2018:14:58:32 +0000] "GET /exCODEAPI/addExercise.html HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [20/Jan/2018:14:58:32 +0000] "GET /exCODEAPI/addExercise.html HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [20/Jan/2018:14:58:33 +0000] "GET /exCODEAPI/addExercise.html HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [20/Jan/2018:14:58:36 +0000] "GET /exCODEAPI HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jan/2018:14:58:37 +0000] "GET /exCODEAPI/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2018:14:58:48 +0000] "POST /exCODEAPI/rest/users/auth HTTP/1.1" 500 94102
0:0:0:0:0:0:0:1 - - [20/Jan/2018:14:58:56 +0000] "GET /exCODEAPI/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2018:14:58:57 +0000] "GET /exCODEAPI/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2018:15:00:14 +0000] "GET /exCODEAPI/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2018:15:00:14 +0000] "GET /exCODEAPI/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2018:15:00:15 +0000] "GET /exCODEAPI/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2018:15:00:16 +0000] "GET /exCODEAPI/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2018:15:00:56 +0000] "GET /exCODEAPI/rest/users HTTP/1.1" 500 94110
0:0:0:0:0:0:0:1 - - [20/Jan/2018:15:01:41 +0000] "GET /robots.txt HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [20/Jan/2018:15:01:41 +0000] "GET /exCODEAPI/rest/users HTTP/1.1" 500 94102
0:0:0:0:0:0:0:1 - - [20/Jan/2018:15:01:42 +0000] "GET /exCODEAPI/rest/users HTTP/1.1" 500 94110
